timestamp,operator_id,event_type,field,value,notes
2026-04-25 09:36:02.502,1,CLOCK_IN,operator_id,1,
2026-04-25 09:36:17.467,1,CONTAINER_SCAN,container_id,10002  HDPE  [DRW013_AA],
2026-04-25 09:36:57.506,1,CHECKOUT,container_id,10002  →  tank_blow_molding_1  [HDPE],
2026-04-25 10:28:43.437,111,CLOCK_IN,operator_id,111,
2026-04-25 10:28:56.455,111,CONTAINER_SCAN,container_id,10003,
2026-04-25 10:29:35.921,111,SCALE_SCAN,scale_id,SCL01  raw=110.0 kg  est=100.0 kg,
2026-04-25 10:29:40.431,111,CONTAINER_ADD,container_id,10003  HDPE  100.0 kg,
2026-04-25 10:38:38.084,111,CONTAINER_SCAN,container_id,10004,
2026-04-25 10:39:48.005,111,SCALE_SCAN,scale_id,SCL01  raw=50.0 kg  est=990 pcs,
2026-04-25 10:39:50.884,111,CONTAINER_ADD,container_id,10004  fitting cut off body  990 pcs,
2026-04-25 10:41:04.527,111,CONTAINER_SCAN,container_id,10005,
2026-04-25 10:41:57.921,111,SCALE_SCAN,scale_id,SCL01  raw=50.0 kg  est=4950 pcs,
2026-04-25 10:42:00.057,111,CONTAINER_ADD,container_id,10005  plugged valve pin  4950 pcs,
2026-04-25 10:42:07.741,111,CONTAINER_SCAN,container_id,10006,
2026-04-25 10:42:59.031,111,SCALE_SCAN,scale_id,SCL01  raw=50.0 kg  est=495 pcs,
2026-04-25 10:43:00.595,111,CONTAINER_ADD,container_id,10006  fitting cap  495 pcs,
2026-04-25 10:43:12.069,111,CONTAINER_SCAN,container_id,10007,
2026-04-25 10:43:39.419,111,SCALE_SCAN,scale_id,SCL01  raw=50.0 kg  est=248 pcs,
2026-04-25 10:43:41.049,111,CONTAINER_ADD,container_id,10007  disc  248 pcs,
2026-04-25 10:45:22.998,111,SCALE_SCAN,scale_id,SCL01  raw=50.0 kg  est=990 pcs,
2026-04-25 10:45:28.185,111,CONTAINER_SCAN,container_id,10008,
2026-04-25 10:45:29.691,111,CONTAINER_ADD,container_id,10008  valve box with nipple  990 pcs,
2026-04-25 10:45:42.010,111,CONTAINER_SCAN,container_id,10009,
2026-04-25 10:46:25.121,111,SCALE_SCAN,scale_id,SCL01  raw=50.0 kg  est=707 pcs,
2026-04-25 10:46:27.787,111,CONTAINER_ADD,container_id,10009  suction diaphragm  707 pcs,
2026-04-25 10:57:18.030,111,CONTAINER_SCAN,container_id,10004  fitting cut off body  [DRW014_AA],
2026-04-25 10:57:21.438,111,CHECKOUT,container_id,10004  →  cut off switch assembly_1  [fitting cut off body],
2026-04-25 10:57:55.739,111,CONTAINER_SCAN,container_id,10005  plugged valve pin  [DRW015_AA],
2026-04-25 10:57:57.946,111,CHECKOUT,container_id,10005  →  cut off switch assembly_1  [plugged valve pin],
2026-04-25 11:01:06.832,111,CONTAINER_SCAN,container_id,10004  fitting cut off body  (check-in),
2026-04-25 11:01:11.220,111,SCALE_SCAN,scale_id,SCL01  raw=40.0 kg  est=790 pcs,
2026-04-25 11:01:14.088,111,CHECKIN,container_id,10004  new qty=790.0 pcs  [fitting cut off body],
2026-04-25 11:01:23.213,111,CONTAINER_SCAN,container_id,10005  plugged valve pin  (check-in),
2026-04-25 11:01:30.188,111,SCALE_SCAN,scale_id,SCL01  raw=40.0 kg  est=3950 pcs,
2026-04-25 11:01:31.695,111,CHECKIN,container_id,10005  new qty=3950.0 pcs  [plugged valve pin],
